9;Tab
1d4a9;Nscr
1d4aa;Oscr
1d4ab;Pscr
1d4ac;Qscr
1d4ae;Sscr
1d4af;Tscr
1d4b0;Uscr
1d4b1;Vscr
1d4b2;Wscr
1d4b3;Xscr
1d4b4;Yscr
1d4b5;Zscr
1d4b6;ascr
1d4b7;bscr
1d4b8;cscr
1d4b9;dscr
1d4bb;fscr
1d4bd;hscr
1d4be;iscr
1d4bf;jscr
1d4c0;kscr
1d4c1;lscr
1d4c2;mscr
1d4c3;nscr
1d4c5;pscr
1d4c6;qscr
1d4c7;rscr
1d4c8;sscr
1d4c9;tscr
1d4ca;uscr
1d4cb;vscr
1d4cc;wscr
1d4cd;xscr
1d4ce;yscr
1d4cf;zscr
1d504;Afr
1d505;Bfr
1d507;Dfr
1d508;Efr
1d509;Ffr
1d50a;Gfr
1d50d;Jfr
1d50e;Kfr
1d50f;Lfr
1d510;Mfr
1d511;Nfr
1d512;Ofr
1d513;Pfr
1d514;Qfr
1d516;Sfr
1d517;Tfr
1d518;Ufr
1d519;Vfr
1d51a;Wfr
1d51b;Xfr
1d51c;Yfr
1d51e;afr
1d51f;bfr
1d520;cfr
1d521;dfr
1d522;efr
1d523;ffr
1d524;gfr
1d525;hfr
1d526;ifr
1d527;jfr
1d528;kfr
1d529;lfr
1d52a;mfr
1d52b;nfr
1d52c;ofr
1d52d;pfr
1d52e;qfr
1d52f;rfr
1d530;sfr
1d531;tfr
1d532;ufr
1d533;vfr
1d534;wfr
1d535;xfr
1d536;yfr
1d537;zfr
1d538;Aopf
1d539;Bopf
1d53b;Dopf
1d53c;Eopf
1d53d;Fopf
1d53e;Gopf
1d540;Iopf
1d541;Jopf
1d542;Kopf
1d543;Lopf
1d544;Mopf
1d546;Oopf
1d54a;Sopf
1d54b;Topf
1d54c;Uopf
1d54d;Vopf
1d54e;Wopf
1d54f;Xopf
1d550;Yopf
1d552;aopf
1d553;bopf
1d554;copf
1d555;dopf
1d556;eopf
1d557;fopf
1d558;gopf
1d559;hopf
1d55a;iopf
1d55b;jopf
1d55c;kopf
1d55d;lopf
1d55e;mopf
1d55f;nopf
1d560;oopf
1d561;popf
1d562;qopf
1d563;ropf
1d564;sopf
1d565;topf
1d566;uopf
1d567;vopf
1d568;wopf
1d569;xopf
1d56a;yopf
1d56b;zopf
