9;Tab
2002;ensp
2003;emsp
2004;emsp
2005;emsp
2007;numsp
2008;puncsp
2009;thinsp,ThinSpace
200a;hairsp,VeryThinSpace
200b;ZeroWidthSpace,NegativeVeryThinSpace,NegativeThinSpace,NegativeMediumSpace,NegativeThickSpace
200c;zwnj
200d;zwj
200e;lrm
200f;rlm
2010;hyphen,dash
2013;ndash
2014;mdash
2015;horbar
2016;Verbar,Vert
2018;lsquo,OpenCurlyQuote
2019;rsquo,rsquor,CloseCurlyQuote
201a;lsquor,sbquo
201c;ldquo,OpenCurlyDoubleQuote
201d;rdquo,rdquor,CloseCurlyDoubleQuote
201e;ldquor,bdquo
2020;dagger
2021;Dagger,ddagger
2022;bull,bullet
2025;nldr
2026;hellip,mldr
2030;permil
2031;pertenk
2032;prime
2033;Prime
2034;tprime
2035;bprime,backprime
2039;lsaquo
203a;rsaquo
203e;oline
2041;caret
2043;hybull
2044;frasl
204f;bsemi
2057;qprime
205f;MediumSpace
2060;NoBreak
2061;ApplyFunction,af
2062;InvisibleTimes,it
2063;InvisibleComma,ic
20ac;euro
20db;tdot,TripleDot
20dc;DotDot
2102;Copf,complexes
2105;incare
210a;gscr
210b;hamilt,HilbertSpace,Hscr
210c;Hfr,Poincareplane
210d;quaternions,Hopf
210e;planckh
210f;planck,hbar,plankv,hslash
2110;Iscr,imagline
2111;image,Im,imagpart,Ifr
2112;Lscr,lagran,Laplacetrf
2113;ell
2115;Nopf,naturals
2116;numero
2117;copysr
2118;weierp,wp
2119;Popf,primes
211a;rationals,Qopf
211b;Rscr,realine
211c;real,Re,realpart,Rfr
211d;reals,Ropf
211e;rx
2122;trade,TRADE
2124;integers,Zopf
2126;ohm
2127;mho
2128;Zfr,zeetrf
2129;iiota
212b;angst
212c;bernou,Bernoullis,Bscr
212d;Cfr,Cayleys
212f;escr
2130;Escr,expectation
2131;Fscr,Fouriertrf
2133;phmmat,Mellintrf,Mscr
2134;order,orderof,oscr
2135;alefsym,aleph
2136;beth
2137;gimel
2138;daleth
2145;CapitalDifferentialD,DD
2146;DifferentialD,dd
2147;ExponentialE,exponentiale,ee
2148;ImaginaryI,ii
2153;frac
2154;frac
2155;frac
2156;frac
2157;frac
2158;frac
2159;frac
215a;frac
215b;frac
215c;frac
215d;frac
215e;frac
2190;larr,leftarrow,LeftArrow,slarr,ShortLeftArrow
2191;uarr,uparrow,UpArrow,ShortUpArrow
2192;rarr,rightarrow,RightArrow,srarr,ShortRightArrow
2193;darr,downarrow,DownArrow,ShortDownArrow
2194;harr,leftrightarrow,LeftRightArrow
2195;varr,updownarrow,UpDownArrow
2196;nwarr,UpperLeftArrow,nwarrow
2197;nearr,UpperRightArrow,nearrow
2198;searr,searrow,LowerRightArrow
2199;swarr,swarrow,LowerLeftArrow
219a;nlarr,nleftarrow
219b;nrarr,nrightarrow
219d;rarrw,rightsquigarrow
219e;Larr,twoheadleftarrow
219f;Uarr
21a0;Rarr,twoheadrightarrow
21a1;Darr
21a2;larrtl,leftarrowtail
21a3;rarrtl,rightarrowtail
21a4;LeftTeeArrow,mapstoleft
21a5;UpTeeArrow,mapstoup
21a6;map,RightTeeArrow,mapsto
21a7;DownTeeArrow,mapstodown
21a9;larrhk,hookleftarrow
21aa;rarrhk,hookrightarrow
21ab;larrlp,looparrowleft
21ac;rarrlp,looparrowright
21ad;harrw,leftrightsquigarrow
21ae;nharr,nleftrightarrow
21b0;lsh,Lsh
21b1;rsh,Rsh
21b2;ldsh
21b3;rdsh
21b5;crarr
21b6;cularr,curvearrowleft
21b7;curarr,curvearrowright
21ba;olarr,circlearrowleft
21bb;orarr,circlearrowright
21bc;lharu,LeftVector,leftharpoonup
21bd;lhard,leftharpoondown,DownLeftVector
21be;uharr,upharpoonright,RightUpVector
21bf;uharl,upharpoonleft,LeftUpVector
21c0;rharu,RightVector,rightharpoonup
21c1;rhard,rightharpoondown,DownRightVector
21c2;dharr,RightDownVector,downharpoonright
21c3;dharl,LeftDownVector,downharpoonleft
21c4;rlarr,rightleftarrows,RightArrowLeftArrow
21c5;udarr,UpArrowDownArrow
21c6;lrarr,leftrightarrows,LeftArrowRightArrow
21c7;llarr,leftleftarrows
21c8;uuarr,upuparrows
21c9;rrarr,rightrightarrows
21ca;ddarr,downdownarrows
21cb;lrhar,ReverseEquilibrium,leftrightharpoons
21cc;rlhar,rightleftharpoons,Equilibrium
21cd;nlArr,nLeftarrow
21ce;nhArr,nLeftrightarrow
21cf;nrArr,nRightarrow
21d0;lArr,Leftarrow,DoubleLeftArrow
21d1;uArr,Uparrow,DoubleUpArrow
21d2;rArr,Rightarrow,Implies,DoubleRightArrow
21d3;dArr,Downarrow,DoubleDownArrow
21d4;hArr,Leftrightarrow,DoubleLeftRightArrow,iff
21d5;vArr,Updownarrow,DoubleUpDownArrow
21d6;nwArr
21d7;neArr
21d8;seArr
21d9;swArr
21da;lAarr,Lleftarrow
21db;rAarr,Rrightarrow
21dd;zigrarr
21e4;larrb,LeftArrowBar
21e5;rarrb,RightArrowBar
21f5;duarr,DownArrowUpArrow
21fd;loarr
21fe;roarr
21ff;hoarr
2200;forall,ForAll
2201;comp,complement
2202;part,PartialD
2203;exist,Exists
2204;nexist,NotExists,nexists
2205;empty,emptyset,emptyv,varnothing
2207;nabla,Del
2208;isin,isinv,Element,in
2209;notin,NotElement,notinva
220b;niv,ReverseElement,ni,SuchThat
220c;notni,notniva,NotReverseElement
220f;prod,Product
2210;coprod,Coproduct
2211;sum,Sum
2212;minus
2213;mnplus,mp,MinusPlus
2214;plusdo,dotplus
2216;setmn,setminus,Backslash,ssetmn,smallsetminus
2217;lowast
2218;compfn,SmallCircle
221a;radic,Sqrt
221d;prop,propto,Proportional,vprop,varpropto
221e;infin
221f;angrt
2220;ang,angle
2221;angmsd,measuredangle
2222;angsph
2223;mid,VerticalBar,smid,shortmid
2224;nmid,NotVerticalBar,nsmid,nshortmid
2225;par,parallel,DoubleVerticalBar,spar,shortparallel
2226;npar,nparallel,NotDoubleVerticalBar,nspar,nshortparallel
2227;and,wedge
2228;or,vee
2229;cap
222a;cup
222b;int,Integral
222c;Int
222d;tint,iiint
222e;conint,oint,ContourIntegral
222f;Conint,DoubleContourIntegral
2230;Cconint
2231;cwint
2232;cwconint,ClockwiseContourIntegral
2233;awconint,CounterClockwiseContourIntegral
2234;there,therefore,Therefore
2235;becaus,because,Because
2236;ratio
2237;Colon,Proportion
2238;minusd,dotminus
223a;mDDot
223b;homtht
223c;sim,Tilde,thksim,thicksim
223d;bsim,backsim
223e;ac,mstpos
223f;acd
2240;wreath,VerticalTilde,wr
2241;nsim,NotTilde
2242;esim,EqualTilde,eqsim
2243;sime,TildeEqual,simeq
2244;nsime,nsimeq,NotTildeEqual
2245;cong,TildeFullEqual
2246;simne
2247;ncong,NotTildeFullEqual
2248;asymp,ap,TildeTilde,approx,thkap,thickapprox
2249;nap,NotTildeTilde,napprox
224a;ape,approxeq
224b;apid
224c;bcong,backcong
224d;asympeq,CupCap
224e;bump,HumpDownHump,Bumpeq
224f;bumpe,HumpEqual,bumpeq
2250;esdot,DotEqual,doteq
2251;eDot,doteqdot
2252;efDot,fallingdotseq
2253;erDot,risingdotseq
2254;colone,coloneq,Assign
2255;ecolon,eqcolon
2256;ecir,eqcirc
2257;cire,circeq
2259;wedgeq
225a;veeeq
225c;trie,triangleq
225f;equest,questeq
2260;ne,NotEqual
2261;equiv,Congruent
2262;nequiv,NotCongruent
2264;le,leq
2265;ge,GreaterEqual,geq
2266;lE,LessFullEqual,leqq
2267;gE,GreaterFullEqual,geqq
2268;lnE,lneqq
2269;gnE,gneqq
226a;Lt,NestedLessLess,ll
226b;Gt,NestedGreaterGreater,gg
226c;twixt,between
226d;NotCupCap
226e;nlt,NotLess,nless
226f;ngt,NotGreater,ngtr
2270;nle,NotLessEqual,nleq
2271;nge,NotGreaterEqual,ngeq
2272;lsim,LessTilde,lesssim
2273;gsim,gtrsim,GreaterTilde
2274;nlsim,NotLessTilde
2275;ngsim,NotGreaterTilde
2276;lg,lessgtr,LessGreater
2277;gl,gtrless,GreaterLess
2278;ntlg,NotLessGreater
2279;ntgl,NotGreaterLess
227a;pr,Precedes,prec
227b;sc,Succeeds,succ
227c;prcue,PrecedesSlantEqual,preccurlyeq
227d;sccue,SucceedsSlantEqual,succcurlyeq
227e;prsim,precsim,PrecedesTilde
227f;scsim,succsim,SucceedsTilde
2280;npr,nprec,NotPrecedes
2281;nsc,nsucc,NotSucceeds
2282;sub,subset
2283;sup,supset,Superset
2284;nsub
2285;nsup
2286;sube,SubsetEqual,subseteq
2287;supe,supseteq,SupersetEqual
2288;nsube,nsubseteq,NotSubsetEqual
2289;nsupe,nsupseteq,NotSupersetEqual
228a;subne,subsetneq
228b;supne,supsetneq
228d;cupdot
228e;uplus,UnionPlus
228f;sqsub,SquareSubset,sqsubset
2290;sqsup,SquareSuperset,sqsupset
2291;sqsube,SquareSubsetEqual,sqsubseteq
2292;sqsupe,SquareSupersetEqual,sqsupseteq
2293;sqcap,SquareIntersection
2294;sqcup,SquareUnion
2295;oplus,CirclePlus
2296;ominus,CircleMinus
2297;otimes,CircleTimes
2298;osol
2299;odot,CircleDot
229a;ocir,circledcirc
229b;oast,circledast
229d;odash,circleddash
229e;plusb,boxplus
229f;minusb,boxminus
22a0;timesb,boxtimes
22a1;sdotb,dotsquare
22a2;vdash,RightTee
22a3;dashv,LeftTee
22a4;top,DownTee
22a5;bottom,bot,perp,UpTee
22a7;models
22a8;vDash,DoubleRightTee
22a9;Vdash
22aa;Vvdash
22ab;VDash
22ac;nvdash
22ad;nvDash
22ae;nVdash
22af;nVDash
22b0;prurel
22b2;vltri,vartriangleleft,LeftTriangle
22b3;vrtri,vartriangleright,RightTriangle
22b4;ltrie,trianglelefteq,LeftTriangleEqual
22b5;rtrie,trianglerighteq,RightTriangleEqual
22b6;origof
22b7;imof
22b8;mumap,multimap
22b9;hercon
22ba;intcal,intercal
22bb;veebar
22bd;barvee
22be;angrtvb
22bf;lrtri
22c0;xwedge,Wedge,bigwedge
22c1;xvee,Vee,bigvee
22c2;xcap,Intersection,bigcap
22c3;xcup,Union,bigcup
22c4;diam,diamond,Diamond
22c5;sdot
22c6;sstarf,Star
22c7;divonx,divideontimes
22c8;bowtie
22c9;ltimes
22ca;rtimes
22cb;lthree,leftthreetimes
22cc;rthree,rightthreetimes
22cd;bsime,backsimeq
22ce;cuvee,curlyvee
22cf;cuwed,curlywedge
22d0;Sub,Subset
22d1;Sup,Supset
22d2;Cap
22d3;Cup
22d4;fork,pitchfork
22d5;epar
22d6;ltdot,lessdot
22d7;gtdot,gtrdot
22d8;Ll
22d9;Gg,ggg
22da;leg,LessEqualGreater,lesseqgtr
22db;gel,gtreqless,GreaterEqualLess
22de;cuepr,curlyeqprec
22df;cuesc,curlyeqsucc
22e0;nprcue,NotPrecedesSlantEqual
22e1;nsccue,NotSucceedsSlantEqual
22e2;nsqsube,NotSquareSubsetEqual
22e3;nsqsupe,NotSquareSupersetEqual
22e6;lnsim
22e7;gnsim
22e8;prnsim,precnsim
22e9;scnsim,succnsim
22ea;nltri,ntriangleleft,NotLeftTriangle
22eb;nrtri,ntriangleright,NotRightTriangle
22ec;nltrie,ntrianglelefteq,NotLeftTriangleEqual
22ed;nrtrie,ntrianglerighteq,NotRightTriangleEqual
22ee;vellip
22ef;ctdot
22f0;utdot
22f1;dtdot
22f2;disin
22f3;isinsv
22f4;isins
22f5;isindot
22f6;notinvc
22f7;notinvb
22f9;isinE
22fa;nisd
22fb;xnis
22fc;nis
22fd;notnivc
22fe;notnivb
2305;barwed,barwedge
2306;Barwed,doublebarwedge
2308;lceil,LeftCeiling
2309;rceil,RightCeiling
230a;lfloor,LeftFloor
230b;rfloor,RightFloor
230c;drcrop
230d;dlcrop
230e;urcrop
230f;ulcrop
2310;bnot
2312;profline
2313;profsurf
2315;telrec
2316;target
231c;ulcorn,ulcorner
231d;urcorn,urcorner
231e;dlcorn,llcorner
231f;drcorn,lrcorner
2322;frown,sfrown
2323;smile,ssmile
232d;cylcty
232e;profalar
2336;topbot
233d;ovbar
233f;solbar
237c;angzarr
23b0;lmoust,lmoustache
23b1;rmoust,rmoustache
23b4;tbrk,OverBracket
23b5;bbrk,UnderBracket
23b6;bbrktbrk
23dc;OverParenthesis
23dd;UnderParenthesis
23de;OverBrace
23df;UnderBrace
23e2;trpezium
23e7;elinters
2423;blank
24c8;oS,circledS
2500;boxh,HorizontalLine
2502;boxv
250c;boxdr
2510;boxdl
2514;boxur
2518;boxul
251c;boxvr
2524;boxvl
252c;boxhd
2534;boxhu
253c;boxvh
2550;boxH
2551;boxV
2552;boxdR
2553;boxDr
2554;boxDR
2555;boxdL
2556;boxDl
2557;boxDL
2558;boxuR
2559;boxUr
255a;boxUR
255b;boxuL
255c;boxUl
255d;boxUL
255e;boxvR
255f;boxVr
2560;boxVR
2561;boxvL
2562;boxVl
2563;boxVL
2564;boxHd
2565;boxhD
2566;boxHD
2567;boxHu
2568;boxhU
2569;boxHU
256a;boxvH
256b;boxVh
256c;boxVH
2580;uhblk
2584;lhblk
2588;block
2591;blk
2592;blk
2593;blk
25a1;squ,square,Square
25aa;squf,squarf,blacksquare,FilledVerySmallSquare
25ab;EmptyVerySmallSquare
25ad;rect
25ae;marker
25b1;fltns
25b3;xutri,bigtriangleup
25b4;utrif,blacktriangle
25b5;utri,triangle
25b8;rtrif,blacktriangleright
25b9;rtri,triangleright
25bd;xdtri,bigtriangledown
25be;dtrif,blacktriangledown
25bf;dtri,triangledown
25c2;ltrif,blacktriangleleft
25c3;ltri,triangleleft
25ca;loz,lozenge
25cb;cir
25ec;tridot
25ef;xcirc,bigcirc
25f8;ultri
25f9;urtri
25fa;lltri
25fb;EmptySmallSquare
25fc;FilledSmallSquare
2605;starf,bigstar
2606;star
260e;phone
2640;female
2642;male
2660;spades,spadesuit
2663;clubs,clubsuit
2665;hearts,heartsuit
2666;diams,diamondsuit
266a;sung
266d;flat
266e;natur,natural
266f;sharp
2713;check,checkmark
2717;cross
2720;malt,maltese
2736;sext
2758;VerticalSeparator
2772;lbbrk
2773;rbbrk
27e6;lobrk,LeftDoubleBracket
27e7;robrk,RightDoubleBracket
27e8;lang,LeftAngleBracket,langle
27e9;rang,RightAngleBracket,rangle
27ea;Lang
27eb;Rang
27ec;loang
27ed;roang
27f5;xlarr,longleftarrow,LongLeftArrow
27f6;xrarr,longrightarrow,LongRightArrow
27f7;xharr,longleftrightarrow,LongLeftRightArrow
27f8;xlArr,Longleftarrow,DoubleLongLeftArrow
27f9;xrArr,Longrightarrow,DoubleLongRightArrow
27fa;xhArr,Longleftrightarrow,DoubleLongLeftRightArrow
27fc;xmap,longmapsto
27ff;dzigrarr
2902;nvlArr
2903;nvrArr
2904;nvHarr
2905;Map
290c;lbarr
290d;rbarr,bkarow
290e;lBarr
290f;rBarr,dbkarow
2910;RBarr,drbkarow
2911;DDotrahd
2912;UpArrowBar
2913;DownArrowBar
2916;Rarrtl
2919;latail
291a;ratail
291b;lAtail
